Campaign,Ad group,Status,Max CPC
01 - BHPH English Near Me,BHPH Near Me,Paused,5.0
01 - BHPH English Near Me,Bad Credit Auto,Paused,4.0
01 - BHPH English Near Me,No Credit Check Cars,Paused,4.0
01 - BHPH English Near Me,In House Financing,Paused,3.5
02 - Local Florida Geo,WPB Car Dealers,Paused,3.5
02 - Local Florida Geo,WPB Used Cars,Paused,3.0
03 - BHPH Spanish,Carros Usados WPB,Paused,2.0
03 - BHPH Spanish,Carros Mal Credito,Paused,2.5
03 - BHPH Spanish,Carros Baratos,Paused,1.5
04 - Trade-In,Sell My Car WPB,Paused,2.5
04 - Trade-In,Trade In Value,Paused,2.0
05 - Branded Defensive,Keys Motors Brand,Paused,1.5
