Campaign,Ad group,Keyword,Match type,Status
01 - BHPH English Near Me,,new,Phrase,Negative
02 - Local Florida Geo,,new,Phrase,Negative
03 - BHPH Spanish,,new,Phrase,Negative
04 - Trade-In,,new,Phrase,Negative
05 - Branded Defensive,,new,Phrase,Negative
01 - BHPH English Near Me,,lease,Phrase,Negative
02 - Local Florida Geo,,lease,Phrase,Negative
03 - BHPH Spanish,,lease,Phrase,Negative
04 - Trade-In,,lease,Phrase,Negative
05 - Branded Defensive,,lease,Phrase,Negative
01 - BHPH English Near Me,,leasing,Phrase,Negative
02 - Local Florida Geo,,leasing,Phrase,Negative
03 - BHPH Spanish,,leasing,Phrase,Negative
04 - Trade-In,,leasing,Phrase,Negative
05 - Branded Defensive,,leasing,Phrase,Negative
01 - BHPH English Near Me,,rental,Phrase,Negative
02 - Local Florida Geo,,rental,Phrase,Negative
03 - BHPH Spanish,,rental,Phrase,Negative
04 - Trade-In,,rental,Phrase,Negative
05 - Branded Defensive,,rental,Phrase,Negative
01 - BHPH English Near Me,,rent,Phrase,Negative
02 - Local Florida Geo,,rent,Phrase,Negative
03 - BHPH Spanish,,rent,Phrase,Negative
04 - Trade-In,,rent,Phrase,Negative
05 - Branded Defensive,,rent,Phrase,Negative
01 - BHPH English Near Me,,audi,Phrase,Negative
02 - Local Florida Geo,,audi,Phrase,Negative
03 - BHPH Spanish,,audi,Phrase,Negative
04 - Trade-In,,audi,Phrase,Negative
05 - Branded Defensive,,audi,Phrase,Negative
01 - BHPH English Near Me,,bmw,Phrase,Negative
02 - Local Florida Geo,,bmw,Phrase,Negative
03 - BHPH Spanish,,bmw,Phrase,Negative
04 - Trade-In,,bmw,Phrase,Negative
05 - Branded Defensive,,bmw,Phrase,Negative
01 - BHPH English Near Me,,mercedes,Phrase,Negative
02 - Local Florida Geo,,mercedes,Phrase,Negative
03 - BHPH Spanish,,mercedes,Phrase,Negative
04 - Trade-In,,mercedes,Phrase,Negative
05 - Branded Defensive,,mercedes,Phrase,Negative
01 - BHPH English Near Me,,porsche,Phrase,Negative
02 - Local Florida Geo,,porsche,Phrase,Negative
03 - BHPH Spanish,,porsche,Phrase,Negative
04 - Trade-In,,porsche,Phrase,Negative
05 - Branded Defensive,,porsche,Phrase,Negative
01 - BHPH English Near Me,,tesla,Phrase,Negative
02 - Local Florida Geo,,tesla,Phrase,Negative
03 - BHPH Spanish,,tesla,Phrase,Negative
04 - Trade-In,,tesla,Phrase,Negative
05 - Branded Defensive,,tesla,Phrase,Negative
01 - BHPH English Near Me,,lexus,Phrase,Negative
02 - Local Florida Geo,,lexus,Phrase,Negative
03 - BHPH Spanish,,lexus,Phrase,Negative
04 - Trade-In,,lexus,Phrase,Negative
05 - Branded Defensive,,lexus,Phrase,Negative
01 - BHPH English Near Me,,luxury,Phrase,Negative
02 - Local Florida Geo,,luxury,Phrase,Negative
03 - BHPH Spanish,,luxury,Phrase,Negative
04 - Trade-In,,luxury,Phrase,Negative
05 - Branded Defensive,,luxury,Phrase,Negative
01 - BHPH English Near Me,,premium,Phrase,Negative
02 - Local Florida Geo,,premium,Phrase,Negative
03 - BHPH Spanish,,premium,Phrase,Negative
04 - Trade-In,,premium,Phrase,Negative
05 - Branded Defensive,,premium,Phrase,Negative
01 - BHPH English Near Me,,exotic,Phrase,Negative
02 - Local Florida Geo,,exotic,Phrase,Negative
03 - BHPH Spanish,,exotic,Phrase,Negative
04 - Trade-In,,exotic,Phrase,Negative
05 - Branded Defensive,,exotic,Phrase,Negative
01 - BHPH English Near Me,,junk,Phrase,Negative
02 - Local Florida Geo,,junk,Phrase,Negative
03 - BHPH Spanish,,junk,Phrase,Negative
04 - Trade-In,,junk,Phrase,Negative
05 - Branded Defensive,,junk,Phrase,Negative
01 - BHPH English Near Me,,salvage,Phrase,Negative
02 - Local Florida Geo,,salvage,Phrase,Negative
03 - BHPH Spanish,,salvage,Phrase,Negative
04 - Trade-In,,salvage,Phrase,Negative
05 - Branded Defensive,,salvage,Phrase,Negative
01 - BHPH English Near Me,,parts,Phrase,Negative
02 - Local Florida Geo,,parts,Phrase,Negative
03 - BHPH Spanish,,parts,Phrase,Negative
04 - Trade-In,,parts,Phrase,Negative
05 - Branded Defensive,,parts,Phrase,Negative
01 - BHPH English Near Me,,repair,Phrase,Negative
02 - Local Florida Geo,,repair,Phrase,Negative
03 - BHPH Spanish,,repair,Phrase,Negative
04 - Trade-In,,repair,Phrase,Negative
05 - Branded Defensive,,repair,Phrase,Negative
01 - BHPH English Near Me,,mechanic,Phrase,Negative
02 - Local Florida Geo,,mechanic,Phrase,Negative
03 - BHPH Spanish,,mechanic,Phrase,Negative
04 - Trade-In,,mechanic,Phrase,Negative
05 - Branded Defensive,,mechanic,Phrase,Negative
01 - BHPH English Near Me,,wholesale,Phrase,Negative
02 - Local Florida Geo,,wholesale,Phrase,Negative
03 - BHPH Spanish,,wholesale,Phrase,Negative
04 - Trade-In,,wholesale,Phrase,Negative
05 - Branded Defensive,,wholesale,Phrase,Negative
01 - BHPH English Near Me,,auction,Phrase,Negative
02 - Local Florida Geo,,auction,Phrase,Negative
03 - BHPH Spanish,,auction,Phrase,Negative
04 - Trade-In,,auction,Phrase,Negative
05 - Branded Defensive,,auction,Phrase,Negative
01 - BHPH English Near Me,,free,Phrase,Negative
02 - Local Florida Geo,,free,Phrase,Negative
03 - BHPH Spanish,,free,Phrase,Negative
04 - Trade-In,,free,Phrase,Negative
05 - Branded Defensive,,free,Phrase,Negative
01 - BHPH English Near Me,,diy,Phrase,Negative
02 - Local Florida Geo,,diy,Phrase,Negative
03 - BHPH Spanish,,diy,Phrase,Negative
04 - Trade-In,,diy,Phrase,Negative
05 - Branded Defensive,,diy,Phrase,Negative
01 - BHPH English Near Me,,plans,Phrase,Negative
02 - Local Florida Geo,,plans,Phrase,Negative
03 - BHPH Spanish,,plans,Phrase,Negative
04 - Trade-In,,plans,Phrase,Negative
05 - Branded Defensive,,plans,Phrase,Negative
01 - BHPH English Near Me,,manual,Phrase,Negative
02 - Local Florida Geo,,manual,Phrase,Negative
03 - BHPH Spanish,,manual,Phrase,Negative
04 - Trade-In,,manual,Phrase,Negative
05 - Branded Defensive,,manual,Phrase,Negative
01 - BHPH English Near Me,,what is,Phrase,Negative
02 - Local Florida Geo,,what is,Phrase,Negative
03 - BHPH Spanish,,what is,Phrase,Negative
04 - Trade-In,,what is,Phrase,Negative
05 - Branded Defensive,,what is,Phrase,Negative
01 - BHPH English Near Me,,how to,Phrase,Negative
02 - Local Florida Geo,,how to,Phrase,Negative
03 - BHPH Spanish,,how to,Phrase,Negative
04 - Trade-In,,how to,Phrase,Negative
05 - Branded Defensive,,how to,Phrase,Negative
01 - BHPH English Near Me,,definition,Phrase,Negative
02 - Local Florida Geo,,definition,Phrase,Negative
03 - BHPH Spanish,,definition,Phrase,Negative
04 - Trade-In,,definition,Phrase,Negative
05 - Branded Defensive,,definition,Phrase,Negative
01 - BHPH English Near Me,,wikipedia,Phrase,Negative
02 - Local Florida Geo,,wikipedia,Phrase,Negative
03 - BHPH Spanish,,wikipedia,Phrase,Negative
04 - Trade-In,,wikipedia,Phrase,Negative
05 - Branded Defensive,,wikipedia,Phrase,Negative
01 - BHPH English Near Me,,reviews,Phrase,Negative
02 - Local Florida Geo,,reviews,Phrase,Negative
03 - BHPH Spanish,,reviews,Phrase,Negative
