Campaign,Ad group,Ad type,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2
01 - BHPH English Near Me,BHPH Near Me,Responsive search ad,Paused,Buy Here Pay Here WPB,Drive Home Today,Bad Credit? No Problem,"$1,500 Down — Drive Today",Pre-Approved in 2 Minutes,We Are The Bank,Your Job Is Your Credit,No Credit Check Needed,ITIN Welcome — No SSN OK,9 Years in West Palm Beach,BBB Accredited A- Dealer,Same-Day Approval,Family-Owned Since 2017,Hablamos Español,70+ Cars On The Lot,"Bad credit, no credit, bankruptcy, repo — we say YES when banks say NO. Drive today.",In-house financing. We are the bank. Your job is your credit. Pre-approved in 2 mins.,9 years family-owned in West Palm Beach. BBB A-. 70+ vehicles. Hablamos español.,"$1,500 down options. ITIN OK. No SSN required to start. Same-day drive home.",https://keys-motors-landing.example.com,Buy-Here-Pay-Here,Pre-Approved
01 - BHPH English Near Me,Bad Credit Auto,Responsive search ad,Paused,"Bad Credit? Yes, We Finance",Bankruptcy OK · Repo OK,Drive Home Same Day,"$1,500 Down Options",Pre-Approved in 2 Mins,9 Years in WPB · BBB A-,We Are The Bank,No FICO Score Needed,Your Job Is Your Credit,Family-Owned Since 2017,ITIN Aceptado,Hablamos Español,Free Pre-Approval Online,70+ Cars to Choose,Same-Day Approval Promise,"Banks said no? We say yes. Bad credit, bankruptcy, repossession — all welcome.",Get pre-approved in under 2 minutes. No FICO score needed. Your job is your credit.,9 years serving South Florida. BBB Accredited A-. Family-owned. Hablamos español.,"Drive home today with $1,500 down. ITIN OK. We report payments to build your credit.",https://keys-motors-landing.example.com,Bad-Credit,Pre-Approved
01 - BHPH English Near Me,No Credit Check Cars,Responsive search ad,Paused,No Credit Check Cars,First-Time Buyer? OK!,No SSN? ITIN Accepted,Build Credit In 12 Mo,"$1,500 Down · Drive Today",We Are The Bank,Same-Day Drive Home,Pre-Approved In 2 Mins,9 Years In West Palm Beach,Family-Owned · BBB A-,70+ Cars · Hablamos Español,Your Job Is Your Credit,"No Hassle, No Pressure",Trade-Ins Welcome,Easy Online Application,No credit? No problem. First-time buyer? Welcome. ITIN OK — no SSN required.,12 months of on-time payments builds your credit for traditional financing on next car.,"Drive home today with $1,500 down. Same-day approval. 70+ vehicles. BBB A- dealer.",Family-owned in West Palm Beach since 2017. No hassle. Hablamos español. Apply now.,https://keys-motors-landing.example.com,No-Credit-Check,Drive-Today
01 - BHPH English Near Me,In House Financing,Responsive search ad,Paused,In-House Financing,We Are The Bank,Skip Traditional Banks,"$1,500 Down · Drive Today",Pre-Approved In 2 Mins,Bad Credit? Approved,Bankruptcy OK · Repo OK,9 Years In WPB,BBB Accredited A-,ITIN OK · No SSN Required,Hablamos Español,Family-Owned · Trusted,Same-Day Approval,Build Credit Program,Free Online Application,We finance our own customers. No traditional bank approval needed. We are the bank.,"Bad credit, no credit, bankruptcy, repo — we say YES. $1,500 down options available.",9 years family-owned. BBB A-. ITIN OK. Hablamos español. Pre-approved in 2 minutes.,Drive home today. 70+ vehicles. Same-day approval. Build your credit with our program.,https://keys-motors-landing.example.com,In-House,Financing
02 - Local Florida Geo,WPB Car Dealers,Responsive search ad,Paused,Used Car Dealer in WPB,Keys Motors · 9 Years,70+ Cars in Stock,BBB Accredited A-,"$1,500 Down · Drive Today",Bad Credit? Approved,Hablamos Español,Family-Owned WPB Dealer,Pre-Approved in 2 Mins,Same-Day Drive Home,We Are The Bank,2480 N Military Trail,ITIN OK · No SSN Required,Trade-Ins Welcome,(561) 653-1765 Call Now,Trusted used car dealer in West Palm Beach. 9 years family-owned. BBB Accredited A-.,70+ vehicles in stock. In-house financing. Bad credit OK. ITIN accepted. Same-day drive.,"$1,500 down options. Hablamos español. 2480 N Military Trail, WPB. Call (561) 653-1765.",Get pre-approved in 2 minutes online. Free no-obligation quote. Drive home today.,https://keys-motors-landing.example.com,West-Palm-Beach,Used-Cars
02 - Local Florida Geo,WPB Used Cars,Responsive search ad,Paused,Used Cars West Palm Beach,70+ Vehicles In Stock,Pre-Owned · BBB A- Dealer,"$1,500 Down · Drive Today",Bad Credit OK · ITIN OK,9 Years In WPB,Family-Owned Since 2017,Pre-Approved In 2 Mins,We Are The Bank,Same-Day Drive Home,Hablamos Español,Trade-Ins Welcome,Free Online Pre-Approval,2480 N Military Trail,Call (561) 653-1765,Used cars West Palm Beach — 70+ pre-owned vehicles. BBB Accredited A-. 9 years.,"In-house financing. Bad credit, no credit, ITIN — all welcome. Drive home today.","$1,500 down options. Family-owned since 2017. Hablamos español. Free pre-approval.","2480 N Military Trail, WPB. Open Mon-Sat 9-7, Sun 11-5. Call (561) 653-1765.",https://keys-motors-landing.example.com,Used-Cars,WPB
03 - BHPH Spanish,Carros Usados WPB,Responsive search ad,Paused,Carros Usados WPB,70+ Carros en Stock,"$1,500 de Inicial",Llévatelo Hoy Mismo,Tu Trabajo Es Tu Crédito,Mal Crédito · Sin Crédito,ITIN OK · Sin SSN,Pre-Aprobación 2 Minutos,Nosotros Somos el Banco,9 Años en West Palm Beach,Familia Propietaria,BBB Acreditado A-,Hablamos Español,(561) 653-1765,Aplica Online Gratis,Carros usados en West Palm Beach. 70+ vehículos. Financiamiento propio. Llévatelo hoy.,¿Mal crédito? ¿Sin crédito? ¿Bancarrota? Aprobado. Tu trabajo es tu crédito. ITIN OK.,"$1,500 de inicial. Pre-aprobación en 2 minutos. 9 años familia propietaria. BBB A-.","2480 N Military Trail, WPB. Lun-Sáb 9-7, Dom 11-5. Llama (561) 653-1765.",https://keys-motors-landing.example.com?lang=es,Carros-Usados,WPB
03 - BHPH Spanish,Carros Mal Credito,Responsive search ad,Paused,Carros Sin Crédito,Sin SSN · ITIN Aceptado,Mal Crédito? Aprobado,"$1,500 de Inicial",Llévatelo Hoy Mismo,Tu Trabajo Es Tu Crédito,Financiamiento Propio,Pre-Aprobación 2 Minutos,9 Años en WPB,Familia Propietaria,BBB Acreditado A-,Construye Tu Crédito,Hablamos Español,(561) 653-1765,Aplica Gratis Online,¿Mal crédito? ¿Sin crédito? Nosotros somos el banco. No necesitas aprobación bancaria.,ITIN aceptado. Sin SSN. Bancarrota OK. Repossession OK. Tu trabajo es tu crédito.,Pre-aprobación en 2 minutos online. Reportamos pagos para construir tu crédito.,9 años familia propietaria en West Palm Beach. BBB A-. Llama (561) 653-1765.,https://keys-motors-landing.example.com?lang=es,Mal-Credito,Aprobado
03 - BHPH Spanish,Carros Baratos,Responsive search ad,Paused,Carros Baratos Usados,"Desde $5,995","$1,500 de Inicial",70+ Carros Disponibles,Llévatelo Hoy,Mal Crédito? OK,ITIN Aceptado,Tu Trabajo Es Tu Crédito,Pre-Aprobación 2 Minutos,9 Años en WPB,Familia Propietaria,BBB Acreditado A-,Hablamos Español,(561) 653-1765,Aplica Gratis,"Carros baratos usados en West Palm Beach. 70+ vehículos desde $5,995. Llévatelo hoy.","$1,500 de inicial. Mal crédito OK. ITIN OK. Tu trabajo es tu crédito. Sin SSN requerido.",Financiamiento propio. No necesitas banco. 9 años familia propietaria. BBB Acreditado A-.,"2480 N Military Trail, WPB. Pre-aprobación gratis online. Llama (561) 653-1765.",https://keys-motors-landing.example.com?lang=es,Carros-Baratos,WPB
04 - Trade-In,Sell My Car WPB,Responsive search ad,Paused,Sell Your Car Fast — WPB,We Buy Any Car,Free 30-Min Appraisal,Cash or Trade-In,Even If It's Not Running,Even If You Owe On It,Top Dollar Offer,9 Years in WPB,BBB Accredited A-,Family-Owned Since 2017,Same-Day Quote,We Handle Paperwork,Hablamos Español,(561) 653-1765,Apply Online Free,"Sell your car fast in West Palm Beach. We buy any make, model, or condition.",Even if it's not running. Even if you still owe on it. Top dollar offer in 30 mins.,Free appraisal. We handle the paperwork. Cash or apply value to your next car.,9 years family-owned. BBB A-. Hablamos español. Call (561) 653-1765 today.,https://keys-motors-landing.example.com#trade-in,Sell-My-Car,WPB
04 - Trade-In,Trade In Value,Responsive search ad,Paused,Trade In Value · WPB,Free 30-Min Appraisal,Get Top Dollar Trade-In,We Buy Any Car,Trade Up To Newer Car,9 Years Trade-In Expert,BBB Accredited A-,Even If You Owe,Cash Or Trade Value,Family-Owned · WPB,Hablamos Español,Same-Day Quote,Easy Process · No Hassle,(561) 653-1765,Apply Online Free,"Free trade-in appraisal in 30 minutes. Any make, model, or condition welcome.",We pay top dollar — even if you still owe on it. Apply value to your next ride.,9 years family-owned in WPB. BBB Accredited A-. Same-day quote. Hablamos español.,2480 N Military Trail. Call (561) 653-1765. We handle all paperwork for you.,https://keys-motors-landing.example.com#trade-in,Trade-In,Value
05 - Branded Defensive,Keys Motors Brand,Responsive search ad,Paused,Keys Motors Official Site,Used Car Dealer · WPB,9 Years In Business,BBB Accredited A-,70+ Vehicles In Stock,Bad Credit? Approved,"$1,500 Down · Drive Today",Pre-Approved In 2 Mins,We Are The Bank,Hablamos Español,Family-Owned Since 2017,2480 N Military Trail,Trade-Ins Welcome,(561) 653-1765,ITIN OK · No SSN,Welcome to Keys Motors — West Palm Beach's trusted used car dealer since 2017.,70+ vehicles. In-house financing. Bad credit OK. ITIN accepted. Hablamos español.,BBB Accredited A-. Family-owned. 2480 N Military Trail. Call (561) 653-1765.,Get pre-approved in 2 minutes online. Free no-obligation quote. Drive home today.,https://keys-motors-landing.example.com,Keys-Motors,Official
